name,category,rating,reviews_count,latitude,longitude,address,url,imageUrls,place_type,source,location,webUrl,image,amenities,price_range,rating_cleanliness,rating_service,rating_location,rating_value,popularity_score,tags,opening_hours,best_time_to_visit,peak_hours,wheelchair_accessible,family_friendly,cuisine_type,attraction_type,star_rating
Georges Snack,Chinese restaurant,4.7,3.0,-19.6802843,63.4235278,"8C9F+VCJ, Rue Johnson, Port Mathurin, Mauritius",https://www.google.com/maps/search/?api=1&query=Georges%20Snack&query_place_id=ChIJO-9pbYKt4yMRG0r3GeqFt4Y,https://lh5.googleusercontent.com/p/AF1QipNrS1r6fStwvUjqMhctHbcvtXuU0VkHqgvR_SwH=w408-h544-k-no,restaurant,Google Maps,,,,"Wi-Fi, Pool, Parking, Free Parking",Medium,3.3,4.8,3.5,3.2,3.0,Photography Hotspot,9:00 AM - 8:00 PM,Summer,3:00 PM - 6:00 PM,yes,yes,Indian,Shopping,4-star
Ashvin snack Top Grill,Fast food restaurant,4.5,59.0,-20.2470604,57.5596903,"Royal road, Dagotiere, Mauritius",https://www.google.com/maps/search/?api=1&query=Ashvin%20snack%20Top%20Grill&query_place_id=ChIJwQobNXhZfCERRy2yfjpFIDo,https://lh5.googleusercontent.com/p/AF1QipPtC-WgTFsDz2pQAvg7wKQYWtV7elWWH0Ur-pn7=w408-h276-k-no,restaurant,Google Maps,,,,"Breakfast Included, Free Parking, Beachfront",High,3.0,4.7,3.4,3.1,59.0,Business-Friendly,24/7,Summer,6:00 PM - 9:00 PM,no,no,Italian,Historical,4-star
Kafe Rose,Coffee shop,4.7,61.0,-19.6835551,63.4260316,"Port Mathurin, Mauritius",https://www.google.com/maps/search/?api=1&query=Kafe%20Rose&query_place_id=ChIJ9zB3lLqt4yMRA-aDHl-EeNo,https://lh5.googleusercontent.com/p/AF1QipP6Y3H7pHbDiUX8x5BqcTXkzSl-Zmrbfd5qWZnj=w408-h400-k-no,restaurant,Google Maps,,,,"Wi-Fi, Pool, Parking, Nature Trails",Low,3.5,5.0,3.3,5.0,61.0,Relaxing,24/7,All Year,6:00 PM - 9:00 PM,yes,no,French,Scenic,4-star
Bon Vivant Front de mer,Restaurant,4.7,28.0,-19.6779996,63.4254023,"Port Mathurin, Mauritius",https://www.google.com/maps/search/?api=1&query=Bon%20Vivant%20Front%20de%20mer&query_place_id=ChIJB2X6Jn2t4yMR2y9mR2EiFSY,https://lh5.googleusercontent.com/p/AF1QipPUVCtDYaM6IMQGcFwvFUw6DTRUm9_i6f2QzzSJ=w519-h240-k-no,restaurant,Google Maps,,,,"Outdoor Seating, Open Kitchen, Free Wi-Fi, Wheelchair Accessible, Parking, Alcohol Served, Smoking Area, Kids Menu, Happy Hours, Pet-Friendly",High,4.4,3.7,4.4,4.4,28.0,Pet-Friendly,10:00 AM - 6:00 PM,Summer,3:00 PM - 6:00 PM,no,no,Italian,Cultural,3-star
Shah Snack,Fast food restaurant,5.0,2.0,-20.2570442,57.590363,"PHVR+548, Quartier-Militaire, Mauritius",https://www.google.com/maps/search/?api=1&query=Shah%20Snack&query_place_id=ChIJl2t0oTtZfCER_tg0mmCWOyM,https://lh5.googleusercontent.com/p/AF1QipNveHkMRz_gKIsCJnazMWKogG3YLBTEaxnCDZqV=w426-h240-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Nature Trails",Medium,3.7,3.1,4.6,3.8,2.0,Adventure,Closed on Sundays,Summer,10:00 AM - 2:00 PM,no,yes,Mauritian,Cultural,5-star
Providence Snack and Briyani House,Restaurant,3.9,18.0,-20.249493,57.6098027,"Royal Road Providence Quartier Militaire Providence MU, 81602, Mauritius",https://www.google.com/maps/search/?api=1&query=Providence%20Snack%20and%20Briyani%20House&query_place_id=ChIJOeRe2T5ZfCERik1lHwt8yKw,https://lh5.googleusercontent.com/p/AF1QipMBJjaukPDPkLAP-mhzJmamAbmb5mNMa0THY4EM=w408-h544-k-no,restaurant,Google Maps,,,,"Smoking Area, Alcohol Served, Parking, Wheelchair Accessible, Outdoor Seating, Reservation Required, Happy Hours, Pet-Friendly, Free Wi-Fi, Open Kitchen",Luxury,3.9,3.7,3.4,4.0,18.0,Nature Lovers,10:00 AM - 6:00 PM,Summer,10:00 AM - 2:00 PM,yes,no,French,Scenic,3-star
Yam's restaurant,Family restaurant,3.3,3.0,-20.2706631,57.5193057,"PGH9+PPM, Vacoas-Phoenix, Mauritius",https://www.google.com/maps/search/?api=1&query=Yam's%20restaurant&query_place_id=ChIJT29n61xbfCERDKES6Ydejuc,https://lh5.googleusercontent.com/p/AF1QipNmxcr5CL39NG71ClM5yMdDwSBwxNOKipXMwCOZ=w408-h544-k-no,restaurant,Google Maps,,,,"Breakfast Included, Free Parking, Guided Tours",Luxury,3.5,4.5,3.8,3.8,3.0,Romantic,9:00 AM - 8:00 PM,Winter,10:00 AM - 2:00 PM,no,yes,Chinese,Historical,3-star
NIZAMI BIRYANI,Biryani restaurant,5.0,2.0,-20.4822026,57.6210698,"Cemetery Ln, L Escalier, Mauritius",https://www.google.com/maps/search/?api=1&query=NIZAMI%20BIRYANI&query_place_id=ChIJDxZgXARjfCER0z_px5FtnV4,https://lh5.googleusercontent.com/p/AF1QipNohUEqHFSG369-FPPxZND6d_-0KXH-tr0qfSrl=w408-h544-k-no,restaurant,Google Maps,,,,"Gym, Spa, Wi-Fi, Snorkeling",Luxury,4.5,5.0,3.2,3.7,2.0,Photography Hotspot,Closed on Sundays,Winter,3:00 PM - 6:00 PM,no,no,Chinese,Adventure,3-star
La Place de Gros Bois,Restaurant,4.8,16.0,-20.4420255,57.6148007,"MU MU, B79 - Gros Bois Rd, Mare D Albert 51005, Mauritius",https://www.google.com/maps/search/?api=1&query=La%20Place%20de%20Gros%20Bois&query_place_id=ChIJmR1rU9ZhfCERADz-Ts-MJvo,https://lh5.googleusercontent.com/p/AF1QipOJAMtODAsnxisHNV7fEOszaPABmDwLumjEPKga=w408-h272-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Takeaway, Outdoor Seating, Private Dining, Smoking Area, Open Kitchen, Wheelchair Accessible, Alcohol Served, Live Music, Free Wi-Fi",High,4.1,4.9,4.9,4.6,16.0,Pet-Friendly,9:00 AM - 8:00 PM,Winter,6:00 PM - 9:00 PM,no,yes,Indian,Shopping,Luxury
Fries In The Bag Ltd,Fast food restaurant,5.0,1.0,-20.495774,57.5501458,"GH32+C2R, St Aubin, Mauritius",https://www.google.com/maps/search/?api=1&query=Fries%20In%20The%20Bag%20Ltd&query_place_id=ChIJ8cF-bQBlfCER3fxJqQzODGM,https://lh5.googleusercontent.com/p/AF1QipPCBvq4hG1QWml6Uz8zDUYRTTOokyKOyyLXPg0O=w408-h544-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Local Cuisine",Low,3.3,4.2,3.2,3.9,1.0,Family-Friendly,9:00 AM - 8:00 PM,Winter,6:00 PM - 9:00 PM,no,no,Italian,Historical,5-star
Blessings Snack,Fast food restaurant,5.0,1.0,-20.4396712,57.5944342,"HH6V+4QM, Mare Tabac, Mauritius",https://www.google.com/maps/search/?api=1&query=Blessings%20Snack&query_place_id=ChIJ1zdnX3dhfCER4s4SK5FecVA,https://lh5.googleusercontent.com/p/AF1QipPH0xNo26L8q0OhEMFeP9XxyEUzQfaOUdAHzQS1=w408-h408-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Spa Services",Low,4.9,4.3,4.1,4.4,1.0,Relaxing,Closed on Sundays,Summer,3:00 PM - 6:00 PM,yes,yes,Indian,Historical,3-star
Domaine Du Poste,Restaurant,3.9,191.0,-20.4270398,57.5678774,Mauritius,https://www.google.com/maps/search/?api=1&query=Domaine%20Du%20Poste&query_place_id=ChIJr86NjthgfCERsq68Ul0mAq0,https://lh5.googleusercontent.com/p/AF1QipNr_tUCHdFBP2SfTvWmZt7pVhw1hPZ-GDgrHWnu=w426-h240-k-no,restaurant,Google Maps,,,,"Outdoor Seating, Parking, Live Music, Reservation Required, Open Kitchen, Wheelchair Accessible, Happy Hours, Vegan Options, Takeaway, Alcohol Served",High,3.9,3.4,4.3,4.4,191.0,Luxury Stay,24/7,Summer,6:00 PM - 9:00 PM,yes,yes,Chinese,Shopping,4-star
L'Escale Snack,Restaurant,4.2,47.0,-20.4830876,57.6203771,"L Escalier, Mauritius",https://www.google.com/maps/search/?api=1&query=L'Escale%20Snack&query_place_id=ChIJXWej8UdhfCERq-43IhEQFds,https://lh5.googleusercontent.com/p/AF1QipOYpxcEMoHTHvvyqZ4FM1XWJsI9Oc98OjmlXIwO=w408-h544-k-no,restaurant,Google Maps,,,,"Kids Menu, Wheelchair Accessible, Vegan Options, Reservation Required, Smoking Area, Takeaway, Private Dining, Parking, Alcohol Served, Open Kitchen",Luxury,3.3,4.1,4.8,3.6,47.0,Scenic Views,9:00 AM - 8:00 PM,All Year,3:00 PM - 6:00 PM,yes,no,Chinese,Scenic,5-star
Himalaya Restaurant,Restaurant,3.6,24.0,-20.3853282,57.5666722,"JH78+VM7, Nouvelle France, Mauritius",https://www.google.com/maps/search/?api=1&query=Himalaya%20Restaurant&query_place_id=ChIJlanddHpffCERrg62VE-mw-o,https://lh5.googleusercontent.com/p/AF1QipMblMxXTEuvtwOdcucknwWJ38ZFW1Stn9BAB9a3=w426-h240-k-no,restaurant,Google Maps,,,,"Reservation Required, Takeaway, Vegan Options, Pet-Friendly, Happy Hours, Smoking Area, Wheelchair Accessible, Kids Menu, Private Dining, Alcohol Served",Low,3.3,3.5,3.9,4.9,24.0,Budget-Friendly,10:00 AM - 6:00 PM,Winter,3:00 PM - 6:00 PM,no,no,Chinese,Historical,3-star
La Gourmandise snack,Restaurant,3.6,14.0,-20.4721302,57.6178248,"GJH9+44W, B8, L Escalier, Mauritius",https://www.google.com/maps/search/?api=1&query=La%20Gourmandise%20snack&query_place_id=ChIJOVapOrRhfCERg7PKlsB4Q0w,https://lh5.googleusercontent.com/p/AF1QipO3hZWfG1PWTVtJvfqHIAk2Mg78Uo7jmY-HbLy9=w408-h544-k-no,restaurant,Google Maps,,,,"Live Music, Kids Menu, Free Wi-Fi, Takeaway, Outdoor Seating, Smoking Area, Alcohol Served, Private Dining, Pet-Friendly, Vegan Options",Luxury,4.0,3.4,4.5,5.0,14.0,Couple Retreat,24/7,Winter,6:00 PM - 9:00 PM,yes,no,Mauritian,Scenic,5-star
Sagar Patel Indian restaurant,Restaurant,4.5,92.0,-20.4217576,57.5430663,"HGHR+9Q4, Grand Bois, Mauritius",https://www.google.com/maps/search/?api=1&query=Sagar%20Patel%20Indian%20restaurant&query_place_id=ChIJdxxZj0BnfCER58aYVV9wU_s,https://lh5.googleusercontent.com/p/AF1QipOPnvmm1GZvBMpH-Ao7wun3eeniFCmg4dcJEJua=w510-h240-k-no,restaurant,Google Maps,,,,"Reservation Required, Open Kitchen, Parking, Vegan Options, Kids Menu, Alcohol Served, Smoking Area, Takeaway, Happy Hours, Free Wi-Fi",Low,4.1,5.0,3.5,4.6,92.0,Couple Retreat,9:00 AM - 8:00 PM,Summer,10:00 AM - 2:00 PM,no,yes,Italian,Historical,4-star
HOME BAZE,Family restaurant,5.0,36.0,-20.4277138,57.5299961,"HGFH+C4M, 60203 Bois Cheri Road, Bois Cheri, Mauritius",https://www.google.com/maps/search/?api=1&query=HOME%20BAZE&query_place_id=ChIJe6ZCH49nfCER6_gi4yw6a5c,https://lh5.googleusercontent.com/p/AF1QipOCJuUh3EMMz4Cn_EOHeTwhVp6bSY2hfpPSfrto=w408-h544-k-no,restaurant,Google Maps,,,,"Wi-Fi, Pool, Parking, Wi-Fi",High,4.5,3.0,4.7,3.7,36.0,Couple Retreat,24/7,All Year,6:00 PM - 9:00 PM,no,no,Chinese,Historical,Luxury
Le Chamarel Restaurant,Restaurant,4.3,1941.0,-20.422115,57.3859837,"La Crête, Main Road, Chamarel, Mauritius",https://www.google.com/maps/search/?api=1&query=Le%20Chamarel%20Restaurant&query_place_id=ChIJva7c5EhpfCERtdxCllrQi54,https://lh5.googleusercontent.com/p/AF1QipMHmVl2pgZsx6ru9VTvLgfp_esJEnXPDxsd3UhN=w408-h306-k-no,restaurant,Google Maps,,,,"Takeaway, Happy Hours, Alcohol Served, Private Dining, Open Kitchen, Pet-Friendly, Outdoor Seating, Reservation Required, Wheelchair Accessible, Vegan Options",Luxury,4.1,4.5,3.3,3.1,1941.0,Nightlife,9:00 AM - 8:00 PM,Summer,6:00 PM - 9:00 PM,yes,yes,Indian,Shopping,3-star
Paradise Resto,Restaurant,4.0,5.0,-20.4425373,57.5910458,"HH4R+XCM, Mare Tabac, Mauritius",https://www.google.com/maps/search/?api=1&query=Paradise%20Resto&query_place_id=ChIJ_Yu-kQVhfCERmRH9YEnvEbw,https://lh5.googleusercontent.com/p/AF1QipPD2SIWyQ_VAVg8_-S8XwbFZ7EqccHf11qhIsV6=w408-h306-k-no,restaurant,Google Maps,,,,"Happy Hours, Free Wi-Fi, Pet-Friendly, Kids Menu, Outdoor Seating, Alcohol Served, Takeaway, Private Dining, Wheelchair Accessible, Live Music",Luxury,3.7,3.5,4.4,4.6,5.0,Photography Hotspot,9:00 AM - 8:00 PM,All Year,6:00 PM - 9:00 PM,no,no,Italian,Cultural,5-star
Comlone Restaurant,Restaurant,4.0,1129.0,-20.3875112,57.5612835,"Comlone Rd, Nouvelle France, Mauritius",https://www.google.com/maps/search/?api=1&query=Comlone%20Restaurant&query_place_id=ChIJo19aBKlgfCERJORwf9gNBwA,https://lh5.googleusercontent.com/p/AF1QipMW8pAcqUitu0SbLS34EepQXWaoTtIv4umxmh_6=w426-h240-k-no,restaurant,Google Maps,,,,"Smoking Area, Wheelchair Accessible, Live Music, Open Kitchen, Pet-Friendly, Outdoor Seating, Kids Menu, Takeaway, Private Dining, Reservation Required",High,4.9,4.2,3.5,3.3,1129.0,Family-Friendly,Closed on Sundays,Summer,3:00 PM - 6:00 PM,yes,no,Seafood,Shopping,3-star
NU BAZ,Restaurant,4.8,6.0,-20.4963779,57.550012,"GH32+C2R, cité, St Aubin, Mauritius",https://www.google.com/maps/search/?api=1&query=NU%20BAZ&query_place_id=ChIJ6dHIwgNlfCER3wXofVqTnrw,https://lh5.googleusercontent.com/p/AF1QipNuii-FGA4GUvQnDD70N31tyxq3EtD1oOvZ58p-=w408-h271-k-no,restaurant,Google Maps,,,,"Parking, Reservation Required, Kids Menu, Live Music, Alcohol Served, Open Kitchen, Happy Hours, Free Wi-Fi, Pet-Friendly, Outdoor Seating",High,3.9,3.3,4.4,3.5,6.0,Cultural Experience,24/7,Winter,10:00 AM - 2:00 PM,no,yes,Mauritian,Shopping,3-star
Comlone Restaurant (First Sizzler),Restaurant,3.9,576.0,-20.367494,57.5600065,"JHM6+222 Food Giant Complex, Royal Road, Nouvelle France, Mauritius",https://www.google.com/maps/search/?api=1&query=Comlone%20Restaurant%20(First%20Sizzler)&query_place_id=ChIJkVcbNhtefCERbJv0m0ZxgGo,https://lh5.googleusercontent.com/p/AF1QipOWISvJVxS368DKxawWz4wvXR_kx72tSDOVbFtm=w408-h306-k-no,restaurant,Google Maps,,,,"Outdoor Seating, Pet-Friendly, Smoking Area, Live Music, Happy Hours, Private Dining, Wheelchair Accessible, Alcohol Served, Reservation Required, Kids Menu",Medium,4.5,3.3,3.6,3.1,576.0,Budget-Friendly,Closed on Sundays,All Year,3:00 PM - 6:00 PM,yes,no,Italian,Adventure,Luxury
Hungry Birds The Artist's Kitchen,Restaurant,4.5,399.0,-20.399131,57.598602,"Vieux moulin commercial complex, Rose Belle, Mauritius",https://www.google.com/maps/search/?api=1&query=Hungry%20Birds%20The%20Artist's%20Kitchen&query_place_id=ChIJjy28_IhhfCERWf--tCcjsXc,https://lh5.googleusercontent.com/p/AF1QipPA2TuEJxWVoFKwGHlyG7ILQYG219Qoy83JMyXd=w408-h306-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Free Wi-Fi, Vegan Options, Happy Hours, Live Music, Alcohol Served, Smoking Area, Open Kitchen, Takeaway, Outdoor Seating",Medium,4.4,3.8,3.8,4.9,399.0,Couple Retreat,9:00 AM - 8:00 PM,Winter,10:00 AM - 2:00 PM,no,no,French,Historical,4-star
Chennai Express Restaurant,Restaurant,4.5,93.0,-20.377042,57.57017,"JHFC+53M, A 10, Nouvelle France, Mauritius",https://www.google.com/maps/search/?api=1&query=Chennai%20Express%20Restaurant&query_place_id=ChIJSbxng75ffCERgJpEbXztPto,https://lh5.googleusercontent.com/p/AF1QipOtQ4iopyrm-iT9V5xYiKtQP4M7IEeUjhHWNKAR=w408-h331-k-no,restaurant,Google Maps,,,,"Open Kitchen, Outdoor Seating, Live Music, Parking, Reservation Required, Takeaway, Smoking Area, Pet-Friendly, Free Wi-Fi, Happy Hours",Low,4.1,4.4,3.6,4.9,93.0,Scenic Views,Closed on Sundays,Winter,6:00 PM - 9:00 PM,no,no,French,Historical,Luxury
Chez M - Bois Chéri,Restaurant,3.6,71.0,-20.4264159,57.5278344,"HGFH+C4P, B88, Bois Cheri, Mauritius",https://www.google.com/maps/search/?api=1&query=Chez%20M%20-%20Bois%20Ch%C3%A9ri&query_place_id=ChIJtYlAHudmfCERSjkwjjjlu6U,https://lh5.googleusercontent.com/p/AF1QipNiDoWMA7mQdRiEXM7jM800w4vWGo1nHaEZgalO=w408-h306-k-no,restaurant,Google Maps,,,,"Takeaway, Reservation Required, Outdoor Seating, Happy Hours, Open Kitchen, Private Dining, Live Music, Pet-Friendly, Parking, Vegan Options",Medium,4.8,3.1,4.5,4.8,71.0,Couple Retreat,9:00 AM - 8:00 PM,Summer,6:00 PM - 9:00 PM,no,yes,French,Shopping,Luxury
Tammam Restaurant/Bar/Lounge,Restaurant,4.3,6.0,-20.4264244,57.527804,"HGFH+C4M, MU, Bois Cheri Road, Bois Cheri 60203, Mauritius",https://www.google.com/maps/search/?api=1&query=Tammam%20Restaurant%2FBar%2FLounge&query_place_id=ChIJu84EERNnfCER3y70o41bHzk,https://lh5.googleusercontent.com/p/AF1QipPWn38t-nYsD6d4HZp1loqVF8MH2zzxuaogBJV5=w408-h306-k-no,restaurant,Google Maps,,,,"Reservation Required, Vegan Options, Happy Hours, Smoking Area, Wheelchair Accessible, Open Kitchen, Takeaway, Pet-Friendly, Parking, Alcohol Served",Luxury,4.2,4.9,4.2,4.1,6.0,Eco-Friendly,9:00 AM - 8:00 PM,Winter,3:00 PM - 6:00 PM,no,no,Mauritian,Adventure,3-star
Parc Aux Cerf Restaurant,Restaurant,3.6,28.0,-20.3429375,57.5451875,"Seizieme Mille, Mauritius",https://www.google.com/maps/search/?api=1&query=Parc%20Aux%20Cerf%20Restaurant&query_place_id=ChIJCwPpydNdfCERLUAMpgfaBpw,https://lh5.googleusercontent.com/p/AF1QipNJvxWq4GK-eHMblbsUH9BZG59W-IocwGezcCTR=w408-h306-k-no,restaurant,Google Maps,,,,"Smoking Area, Alcohol Served, Happy Hours, Wheelchair Accessible, Live Music, Kids Menu, Parking, Takeaway, Pet-Friendly, Outdoor Seating",Medium,3.5,4.2,4.0,4.4,28.0,Nature Lovers,24/7,All Year,10:00 AM - 2:00 PM,no,no,Chinese,Cultural,Luxury
AK GOURMET,Restaurant,4.4,91.0,-20.3185406,57.524169,"1st Floor, Les Arcades Currimjee, AK GOURMET, Curepipe, Mauritius",https://www.google.com/maps/search/?api=1&query=AK%20GOURMET&query_place_id=ChIJc0ovs4SrfSERB1Py_Cr9Q4k,https://lh5.googleusercontent.com/p/AF1QipO7I4W498eOYK2RVdDuHFDlql2r_1thE_AE9K-g=w493-h240-k-no,restaurant,Google Maps,,,,"Kids Menu, Alcohol Served, Takeaway, Reservation Required, Live Music, Wheelchair Accessible, Pet-Friendly, Open Kitchen, Private Dining, Free Wi-Fi",High,4.9,3.7,4.4,3.4,91.0,Water Activities,24/7,All Year,10:00 AM - 2:00 PM,no,no,French,Historical,Luxury
Rhumerie de Chamarel Restaurant & Rum Distillery,Restaurant,4.5,3723.0,-20.4279284,57.3963316,"Chamarel, Mauritius",https://www.google.com/maps/search/?api=1&query=Rhumerie%20de%20Chamarel%20Restaurant%20%26%20Rum%20Distillery&query_place_id=ChIJ_zudTjZpfCERrM6aNE6Tb54,https://lh5.googleusercontent.com/p/AF1QipNmigL8zZCMULNDJntUCmWHvrSsyQx28o0OT_pW=w408-h306-k-no,restaurant,Google Maps,,,,"Kids Menu, Private Dining, Smoking Area, Wheelchair Accessible, Parking, Open Kitchen, Vegan Options, Happy Hours, Live Music, Takeaway",Luxury,3.0,4.2,4.7,4.4,3723.0,Couple Retreat,24/7,Winter,6:00 PM - 9:00 PM,no,no,Seafood,Shopping,4-star
Big papa grill,Restaurant,4.7,10.0,-20.0536302,57.5532278,"WHW3+G7X, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Big%20papa%20grill&query_place_id=ChIJLY41OkirfSER-mYvhzhPwZk,https://lh5.googleusercontent.com/p/AF1QipNUpM4_idT3HpcH0y3C4n3nF47at9EtEWm_thKv=w408-h306-k-no,restaurant,Google Maps,,,,"Alcohol Served, Private Dining, Pet-Friendly, Open Kitchen, Parking, Vegan Options, Outdoor Seating, Takeaway, Live Music, Wheelchair Accessible",High,3.2,4.5,3.9,3.5,10.0,Great Food,24/7,All Year,6:00 PM - 9:00 PM,yes,yes,Indian,Adventure,Luxury
halim house,Restaurant,5.0,2.0,-20.0544706,57.552858,"WHW3+649, Royal Rd, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=halim%20house&query_place_id=ChIJLfXczndTfCERnEEKoVZlduU,,restaurant,Google Maps,,,,"Takeaway, Reservation Required, Kids Menu, Smoking Area, Wheelchair Accessible, Parking, Vegan Options, Live Music, Happy Hours, Outdoor Seating",High,3.1,4.3,4.4,3.1,2.0,Water Activities,9:00 AM - 8:00 PM,Winter,10:00 AM - 2:00 PM,no,no,Mauritian,Historical,5-star
Parasmani Restaurant,Restaurant,4.1,7.0,-20.0580919,57.5537775,"Bon Air Rd, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Parasmani%20Restaurant&query_place_id=ChIJaZExVr5VfCERfH_PYKOp704,https://lh5.googleusercontent.com/p/AF1QipNZLk6lAHVKGOJrZJF9PJnoWAWjugKBPCB7uHXa=w408-h256-k-no,restaurant,Google Maps,,,,"Free Wi-Fi, Reservation Required, Happy Hours, Kids Menu, Outdoor Seating, Smoking Area, Wheelchair Accessible, Pet-Friendly, Parking, Alcohol Served",High,3.0,3.1,3.6,3.9,7.0,Scenic Views,24/7,Winter,6:00 PM - 9:00 PM,yes,yes,Chinese,Cultural,3-star
Restaurant Tamarin,Restaurant,3.5,21.0,-20.0587117,57.5460178,"WGRW+GC6, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Restaurant%20Tamarin&query_place_id=ChIJR_RWRSlTfCERC2MDifMSEzE,https://lh5.googleusercontent.com/p/AF1QipMLTDU6TLnYnMGG3qTDR_EM7X_Qkevwe1Qjph9R=w426-h240-k-no,restaurant,Google Maps,,,,"Outdoor Seating, Happy Hours, Wheelchair Accessible, Free Wi-Fi, Live Music, Alcohol Served, Reservation Required, Vegan Options, Parking, Private Dining",Medium,4.4,3.7,4.7,4.5,21.0,Cultural Experience,10:00 AM - 6:00 PM,Summer,6:00 PM - 9:00 PM,no,no,Chinese,Cultural,Luxury
Chaat House',Indian restaurant,4.0,2.0,-20.0583424,57.5521212,"WHR2+MR9, A4, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Chaat%20House'&query_place_id=ChIJ1aYe659TfCERy0azQbvVqPM,,restaurant,Google Maps,,,,"Pet-Friendly, Outdoor Seating, Snorkeling",High,3.4,4.5,4.8,4.0,2.0,Family-Friendly,24/7,All Year,3:00 PM - 6:00 PM,no,yes,Indian,Adventure,4-star
Krispy,Restaurant,4.2,36.0,-20.0530779,57.5530046,"Grand Baie Rd, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Krispy&query_place_id=ChIJ_-id51dTfCERrITxZUHhAkc,https://lh5.googleusercontent.com/p/AF1QipMgXQwMY8XWG_4RQTVa79UzMWeAwm4Wfh48TIgM=w408-h306-k-no,restaurant,Google Maps,,,,"Vegan Options, Happy Hours, Reservation Required, Smoking Area, Kids Menu, Open Kitchen, Free Wi-Fi, Takeaway, Parking, Private Dining",High,4.3,3.4,4.3,4.0,36.0,Photography Hotspot,10:00 AM - 6:00 PM,Winter,3:00 PM - 6:00 PM,yes,yes,Italian,Shopping,Luxury
Neptune Bar &Bistro,Restaurant,4.4,15.0,-20.0602809,57.5480277,"WGQX+V6J, TBS Rd, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Neptune%20Bar%20%26Bistro&query_place_id=ChIJASOSU1lTfCERZyYp_4Dp8bc,https://lh5.googleusercontent.com/p/AF1QipNhfAMRqacaGwuZuBexN5lYr4rhSE1_f2-IgcwP=w426-h240-k-no,restaurant,Google Maps,,,,"Happy Hours, Free Wi-Fi, Pet-Friendly, Smoking Area, Live Music, Vegan Options, Takeaway, Reservation Required, Kids Menu, Alcohol Served",Medium,3.1,3.1,3.3,3.5,15.0,Family-Friendly,Closed on Sundays,Summer,3:00 PM - 6:00 PM,no,no,Italian,Scenic,4-star
Royal Taste Snack,Restaurant,3.9,66.0,-20.0577597,57.5523368,"Bon Air Rd, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Royal%20Taste%20Snack&query_place_id=ChIJcfAFbFhTfCERZSkEpahDH1w,https://lh5.googleusercontent.com/p/AF1QipPrj7bca8_2bzSuARmmQGUdi8ll9fDlUEUXQHPj=w408-h544-k-no,restaurant,Google Maps,,,,"Reservation Required, Live Music, Outdoor Seating, Takeaway, Private Dining, Pet-Friendly, Wheelchair Accessible, Parking, Alcohol Served, Kids Menu",Low,4.3,4.4,4.6,3.1,66.0,Historical,24/7,Summer,3:00 PM - 6:00 PM,yes,no,Italian,Cultural,5-star
Ben's Snack,Restaurant,4.9,16.0,-20.061587,57.5512661,"Royal Road 8th mile Triolet, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Ben's%20Snack&query_place_id=ChIJB7m2V_1TfCER5cxcYLg9ryI,https://lh5.googleusercontent.com/p/AF1QipNY2MMULsbY2f1km-zEZSAsI4otBWaKmp5aXJ93=w408-h544-k-no,restaurant,Google Maps,,,,"Kids Menu, Outdoor Seating, Free Wi-Fi, Private Dining, Live Music, Vegan Options, Pet-Friendly, Open Kitchen, Happy Hours, Alcohol Served",High,4.2,3.8,4.4,3.7,16.0,Photography Hotspot,9:00 AM - 8:00 PM,All Year,3:00 PM - 6:00 PM,no,no,Indian,Adventure,5-star
Harry Grill,Restaurant,4.3,151.0,-20.0523076,57.553394,"A4, Triolet, Mauritius",https://www.google.com/maps/search/?api=1&query=Harry%20Grill&query_place_id=ChIJfXzNQO9VfCERcDjJuAONUwk,https://lh5.googleusercontent.com/p/AF1QipNXy8kodIygTCj2_DyaVE39f2udAphae1LavzXo=w408-h544-k-no,restaurant,Google Maps,,,,"Pet-Friendly, Live Music, Happy Hours, Open Kitchen, Reservation Required, Private Dining, Wheelchair Accessible, Vegan Options, Takeaway, Parking",Medium,3.3,4.0,4.6,4.9,151.0,Quiet Getaway,Closed on Sundays,Summer,10:00 AM - 2:00 PM,no,no,Italian,Adventure,Luxury
